Variable,n,RMSE,MAE,Pearson r,Pearson p,Spearman ρ,Spearman p,Theil U,σ_sim,σ_real,σ_sim/σ_real
GDP (raw),38,0.00727,0.00585,+0.201,0.2253,+0.111,0.5068,0.693,0.00233,0.00716,0.33
Inflation (raw),38,0.00326,0.00208,+0.326*,0.0458,+0.249,0.1318,0.684,0.00125,0.00343,0.37
Unemployment (raw),38,0.00834,0.00671,+0.685***,0.0000,+0.647***,0.0000,0.097,0.01111,0.00859,1.29
GDP (4Q MA),38,0.00431,0.00376,+0.255,0.1223,+0.450**,0.0046,0.594,0.00210,0.00405,0.52
Inflation (4Q MA),38,0.00191,0.00135,+0.509**,0.0011,+0.538***,0.0005,0.559,0.00116,0.00216,0.54
Unemployment (4Q MA),38,0.00590,0.00532,+0.819***,0.0000,+0.795***,0.0000,0.070,0.00983,0.00874,1.13
Pension (annual),8,0.01678,0.01509,+0.969***,0.0001,+0.929***,0.0009,0.216,0.02992,0.03224,0.93
