Variable,n,RMSE,MAE,Pearson r,Pearson p,Spearman ρ,Spearman p,Theil U,σ_sim,σ_real,σ_sim/σ_real
GDP (raw),38,0.00886,0.00688,+0.206,0.2154,+0.199,0.2299,0.820,0.00159,0.00861,0.19
Inflation (raw),38,0.00524,0.00347,+0.019,0.9121,-0.118,0.4818,0.718,0.00262,0.00452,0.58
Unemployment (raw),38,0.00822,0.00675,+0.753***,0.0000,+0.764***,0.0000,0.111,0.01046,0.00876,1.19
GDP (4Q MA),38,0.00492,0.00385,+0.153,0.3600,+0.176,0.2916,0.783,0.00100,0.00372,0.27
Inflation (4Q MA),38,0.00376,0.00274,+0.083,0.6223,-0.103,0.5393,0.683,0.00240,0.00298,0.81
Unemployment (4Q MA),38,0.00565,0.00465,+0.874***,0.0000,+0.831***,0.0000,0.074,0.00889,0.00850,1.05
Pension (annual),8,0.06169,0.05628,+0.887**,0.0033,+0.714*,0.0465,0.544,0.04430,0.05407,0.82
