Variable,n,RMSE,MAE,Pearson r,Pearson p,Spearman ρ,Spearman p,Theil U,σ_sim,σ_real,σ_sim/σ_real
GDP (raw),38,0.00745,0.00608,+0.206,0.2143,+0.092,0.5827,0.747,0.00210,0.00716,0.29
Inflation (raw),38,0.00324,0.00204,+0.343*,0.0348,+0.317,0.0524,0.696,0.00113,0.00343,0.33
Unemployment (raw),38,0.01096,0.00924,+0.859***,0.0000,+0.874***,0.0000,0.121,0.01736,0.00859,2.02
GDP (4Q MA),38,0.00455,0.00399,+0.248,0.1335,+0.372*,0.0213,0.680,0.00178,0.00405,0.44
Inflation (4Q MA),38,0.00189,0.00132,+0.520***,0.0008,+0.490**,0.0018,0.573,0.00104,0.00216,0.48
Unemployment (4Q MA),38,0.00848,0.00741,+0.919***,0.0000,+0.940***,0.0000,0.097,0.01578,0.00874,1.81
Pension (annual),8,0.01700,0.01503,+0.969***,0.0001,+0.929***,0.0009,0.214,0.03182,0.03224,0.99
